,Composition,Phase,Temperature,process,grain_size_micro,ultimate tensile strength
273,Cr12.5Fe55Co18Ni7Mo7.5,"['FCC', 'mu']",298.0,"['CW', 'A']",3.2,1096000000.0
274,CrFeCoNi,['FCC'],298.0,"['CW', 'A']",32.2,504000000.0
275,Ti6Al10Cr8Fe15Co25Ni36,['FCC'],296.0,['A'],,696000000.0
276,HfZrTiNb,['BCC'],298.0,['AC'],,969000000.0
277,Ti6Al10Cr8Fe15Co25Ni36,['FCC'],873.0,"['DC', 'A']",,1006000000.0
278,Cr1Fe1Co1Ni1Mo0.15,['FCC'],298.0,['AC'],,895000000.0
279,Nb0.4Cr1Fe1Co1Ni2.1,"['FCC', 'laves']",298.0,['AC'],,840000000.0
280,Cr1Fe1Co1Ni1Mo0.2,['FCC'],298.0,['A'],,799000000.0
281,MnCrFeCuNi,"['BCC', 'FCC', 'FCC']",298.0,['A'],,690000000.0
282,MnCrFeCoNi,['FCC'],298.0,"['CW', 'A']",,635000000.0
283,Fe1Co1Cu1Ni1Sn0.05,"['?', 'FCC']",298.0,['AC'],,615000000.0
284,MnFeNi,['FCC'],298.0,"['CW', 'A']",0.862,613000000.0
285,HfZrTaTiNb,['BCC'],298.0,['CW'],,1295000000.0
286,Cr1Fe1Co1Ni1Mo0.15,,298.0,"['CW', 'A']",,1421000000.0
287,Cr1Fe1Co1Ni1Mo0.15,,298.0,"['CW', 'A']",,1458000000.0
288,Cr23Fe23Co23Ni23Mo7,"['FCC', 'mu', 'sigma']",298.0,"['CW', 'A']",44201,1186500000.0
289,Al0.8Cr1Fe1Ni2.2,"['B2', 'BCC', 'FCC']",298.0,['AC'],,956000000.0
290,Mn19.1Cr19.9Fe19.5Co20.6Ni20.9,"['FCC', 'sigma']",298.0,"['CW', 'A']",3.6,735000000.0
291,MnCoNi,['FCC'],298.0,['CW'],32,653000000.0
292,Al8Cr17Fe17Co17Cu8Ni33,"['Cr23C6', 'FCC', 'L12']",298.0,['AC'],,459000000.0
293,Cr(CoNi)2,['FCC'],298.0,"['CW', 'A']",2.65,553000000.0
294,FeCoCuNi,['FCC'],298.0,['AC'],,480000000.0
295,Al0.6Cr1Fe1Ni2.4,['FCC'],298.0,['AC'],,757000000.0
296,Nb0.2Cr1Fe1Co1Ni2.1,"['D019', 'FCC', 'laves']",298.0,['A'],,860000000.0
297,Hf1Zr1Ta0.5Ti1,"['BCC', 'HCP']",298.0,['AC'],,1100000000.0
298,TiAl2Cr12Fe12(CoNi)12,"['FCC', 'L12', 'L21']",298.0,"['CW', 'A']",15.7,1094000000.0
299,HfZrTaTiNb,['BCC'],298.0,['AC'],,810000000.0
300,Mn19.1Cr19.9Fe19.5Co20.6Ni20.9,"['BCC', 'FCC', 'sigma']",298.0,"['CW', 'A']",1.3,1260000000.0
301,Al16Cr16Fe16Co16Ni35.5,"['B2', 'L12']",298.0,,,1110000000.0
